author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
James Otis	43766	With Porter in the Essex	With-Porter-in-the-Essex_43766	unavailable				
James Otis	43806	Sarah Dillard's Ride: A Story of the Carolinas in 1780	Sarah-Dillard-s-Ride-A-Story-of-the-Carolinas-in-1780_43806	unavailable				
James Otis	43897	Antoine of Oregon: A Story of the Oregon Trail	Antoine-of-Oregon-A-Story-of-the-Oregon-Trail_43897	unavailable				
James Otis	43961	The Life Savers: A story of the United States life-saving service	The-Life-Savers-A-story-of-the-United-States-life-saving-service_43961	unavailable				
James Otis	44100	Ruth of Boston: A Story of the Massachusetts Bay Colony	Ruth-of-Boston-A-Story-of-the-Massachusetts-Bay-Colony_44100	unavailable				
James Otis	44600	Martha of California: A Story of the California Trail	Martha-of-California-A-Story-of-the-California-Trail_44600	unavailable				
James Otis	44616	Mary of Plymouth: A Story of the Pilgrim Settlement	Mary-of-Plymouth-A-Story-of-the-Pilgrim-Settlement_44616	unavailable				
James Otis	44651	With the Swamp Fox: A Story of General Marion's Young Spies	With-the-Swamp-Fox-A-Story-of-General-Marion-s-Young-Spies_44651	unavailable				
James Otis	44724	The Boy Spies of Philadelphia	The-Boy-Spies-of-Philadelphia_44724	unavailable				
James Otis	48344	Benjamin of Ohio: A Story of the Settlement of Marietta	Benjamin-of-Ohio-A-Story-of-the-Settlement-of-Marietta_48344	fetched		177925	6088233021fce596fdb9a3e7cceab1b2562e345c0186606fee2e87c4d446e5cc	48344.txt
James Otis	48571	Philip of Texas: A Story of Sheep Raising in Texas	Philip-of-Texas-A-Story-of-Sheep-Raising-in-Texas_48571	fetched		165703	a295d2129fbfd10814ff5f75b1e74d7b82ef5f237005e799c68ec045b3b271f5	48571-8.txt
James Otis	55074	The Cruise of the Sally D	The-Cruise-of-the-Sally-D_55074	fetched		357221	8ce6e822eb2889b07d577b2ea7289c878a3148f7a8b536f4aa34430a1df35fe7	55074-0.txt
James Otis	55151	The Armed Ship America; Or, When We Sailed from Salem	The-Armed-Ship-America-Or-When-We-Sailed-from-Salem_55151	fetched		222362	a3e816c6f422f6368aea3f693167ed3dad5be652050ddb6e7312ab6f2d8e252b	55151-0.txt
James Otis	63561	Wrecked on Spider Island; Or, How Ned Rogers Found the Treasure	Wrecked-on-Spider-Island-Or-How-Ned-Rogers-Found-the-Treasure_63561	fetched		348479	95f6b80b9f1725fae93cbcbba432cd51c20d4cfc18e629dfead0bb857cc38f2e	63561-0.txt
